,College,Stream,Category,Opening_Rank,Closing_Rank
0,IIT-B,CSE,Open,1,60
1,IIT-B,CSE,OBC,8,42
2,IIT-B,CSE,SC,1,20
3,IIT-B,CSE,ST,2,13
4,IIT-B,Civil,Open,1128,2367
5,IIT-B,Civil,OBC,519,1023
6,IIT-B,Civil,SC,150,463
7,IIT-B,Civil,ST,67,121
8,IIT-B,EE,Open,46,252
9,IIT-B,EE,OBC,58,165
10,IIT-B,EE,SC,16,79
11,IIT-B,EE,ST,12,39
12,IIT-B,MECH,Open,209,787
13,IIT-B,MECH,OBC,110,394
14,IIT-B,MECH,SC,50,169
15,IIT-B,MECH,ST,24,96
16,IIT-BHU,CSE,Open,502,871
17,IIT-BHU,CSE,OBC,236,393
18,IIT-BHU,CSE,SC,136,243
19,IIT-BHU,CSE,ST,139,193
20,IIT-BHU,Civil,Open,3932,5983
21,IIT-BHU,Civil,OBC,1503,2066
22,IIT-BHU,Civil,SC,709,1067
23,IIT-BHU,Civil,ST,240,338
24,IIT-BHU,EE,Open,1802,3042
25,IIT-BHU,EE,OBC,704,1206
26,IIT-BHU,EE,SC,493,698
27,IIT-BHU,EE,ST,239,332
28,IIT-BHU,MECH,Open,2520,4010
29,IIT-BHU,MECH,OBC,861,1412
30,IIT-BHU,MECH,SC,650,866
31,IIT-BHU,MECH,ST,255,380
32,IIT-Bhub,CSE,Open,1555,2523
33,IIT-Bhub,CSE,OBC,615,1012
34,IIT-Bhub,CSE,SC,247,529
35,IIT-Bhub,CSE,ST,210,323
36,IIT-Bhub,Civil,Open,4797,7679
37,IIT-Bhub,Civil,OBC,1729,2624
38,IIT-Bhub,Civil,SC,915,1219
39,IIT-Bhub,Civil,ST,395,439
40,IIT-Bhub,EE,Open,3155,4860
41,IIT-Bhub,EE,OBC,1376,1825
42,IIT-Bhub,EE,SC,831,1013
43,IIT-Bhub,EE,ST,320,490
44,IIT-Bhub,MECH,Open,3643,5446
45,IIT-Bhub,MECH,OBC,1377,1962
46,IIT-Bhub,MECH,SC,846,1059
47,IIT-Bhub,MECH,ST,360,541
48,IIT-D,CSE,Open,10,106
49,IIT-D,CSE,OBC,30,64
50,IIT-D,CSE,SC,18,36
51,IIT-D,CSE,ST,9,23
52,IIT-D,Civil,Open,753,2864
53,IIT-D,Civil,OBC,541,1074
54,IIT-D,Civil,SC,177,474
55,IIT-D,Civil,ST,17,62
56,IIT-D,EE,Open,159,427
57,IIT-D,EE,OBC,91,233
58,IIT-D,EE,SC,28,113
59,IIT-D,EE,ST,7,63
60,IIT-D,MECH,Open,412,958
61,IIT-D,MECH,OBC,264,477
62,IIT-D,MECH,SC,65,197
63,IIT-D,MECH,ST,31,81
64,IIT-Guwahati,CSE,Open,384,630
65,IIT-Guwahati,CSE,OBC,219,342
66,IIT-Guwahati,CSE,SC,103,177
67,IIT-Guwahati,CSE,ST,50,158
68,IIT-Guwahati,Civil,Open,3716,5515
69,IIT-Guwahati,Civil,OBC,1492,1895
70,IIT-Guwahati,Civil,SC,712,968
71,IIT-Guwahati,Civil,ST,236,318
72,IIT-Guwahati,MECH,Open,2011,2972
73,IIT-Guwahati,MECH,OBC,841,1123
74,IIT-Guwahati,MECH,SC,419,678
75,IIT-Guwahati,MECH,ST,212,337
76,IIT-Guwahati,ECE,Open,1172,1808
77,IIT-Guwahati,ECE,OBC,410,789
78,IIT-Guwahati,ECE,SC,342,572
79,IIT-Guwahati,ECE,ST,220,337
80,IIT-I,CSE,Open,862,1391
81,IIT-I,CSE,OBC,363,588
82,IIT-I,CSE,SC,277,372
83,IIT-I,CSE,ST,127,289
84,IIT-I,Civil,Open,5148,7008
85,IIT-I,Civil,OBC,1872,2481
86,IIT-I,Civil,SC,909,1200
87,IIT-I,Civil,ST,313,387
88,IIT-I,EE,Open,1965,3588
89,IIT-I,EE,OBC,1282,1594
90,IIT-I,EE,SC,643,904
91,IIT-I,EE,ST,306,410
92,IIT-I,MECH,Open,3056,4703
93,IIT-I,MECH,OBC,1206,1792
94,IIT-I,MECH,SC,542,1073
95,IIT-I,MECH,ST,373,470
96,IIT-K,CSE,Open,106,216
97,IIT-K,CSE,OBC,63,128
98,IIT-K,CSE,SC,33,77
99,IIT-K,CSE,ST,26,50
100,IIT-K,Civil,Open,1839,3524
101,IIT-K,Civil,OBC,734,1361
102,IIT-K,Civil,SC,386,668
103,IIT-K,Civil,ST,114,195
104,IIT-K,EE,Open,308,805
105,IIT-K,EE,OBC,187,431
106,IIT-K,EE,SC,126,239
107,IIT-K,EE,ST,70,150
108,IIT-K,MECH,Open,889,1471
109,IIT-K,MECH,OBC,351,645
110,IIT-K,MECH,SC,181,360
111,IIT-K,MECH,ST,82,185
112,IIT-Kh,CSE,Open,144,273
113,IIT-Kh,CSE,OBC,59,137
114,IIT-Kh,CSE,SC,31,78
115,IIT-Kh,CSE,ST,16,39
116,IIT-Kh,Civil,Open,2701,3979
117,IIT-Kh,Civil,OBC,950,1433
118,IIT-Kh,Civil,SC,411,689
119,IIT-Kh,Civil,ST,108,235
120,IIT-Kh,EE,Open,398,1155
121,IIT-Kh,EE,OBC,328,510
122,IIT-Kh,EE,SC,152,252
123,IIT-Kh,EE,ST,58,135
124,IIT-Kh,MECH,Open,852,1627
125,IIT-Kh,MECH,OBC,376,673
126,IIT-Kh,MECH,SC,165,303
127,IIT-Kh,MECH,ST,83,181
128,IIT-M,CSE,Open,46,183
129,IIT-M,CSE,OBC,36,87
130,IIT-M,CSE,SC,24,58
131,IIT-M,CSE,ST,12,27
132,IIT-M,Civil,Open,1930,3694
133,IIT-M,Civil,OBC,766,896
134,IIT-M,Civil,SC,284,619
135,IIT-M,Civil,ST,112,200
136,IIT-M,EE,Open,148,605
137,IIT-M,EE,OBC,106,294
138,IIT-M,EE,SC,47,188
139,IIT-M,EE,ST,58,100
140,IIT-M,MECH,Open,462,1267
141,IIT-M,MECH,OBC,243,537
142,IIT-M,MECH,SC,77,273
143,IIT-M,MECH,ST,74,136
144,IIT-R,CSE,Open,277,449
145,IIT-R,CSE,OBC,131,219
146,IIT-R,CSE,SC,83,122
147,IIT-R,CSE,ST,61,107
148,IIT-R,Civil,Open,2673,4418
149,IIT-R,Civil,OBC,1028,1557
150,IIT-R,Civil,SC,460,756
151,IIT-R,Civil,ST,99,219
152,IIT-R,EE,Open,1003,1824
153,IIT-R,EE,OBC,483,762
154,IIT-R,EE,SC,173,447
155,IIT-R,EE,ST,114,236
156,IIT-R,MECH,Open,1536,2418
157,IIT-R,MECH,OBC,611,935
158,IIT-R,MECH,SC,318,509
159,IIT-R,MECH,ST,181,277
